Effective Date,County,Trade Title,Region,Type,Class,Base Wage,Foreman Wage,OT M-F,OT Sa,OT Su,OT Hol,H/W,Pension,Vacation,Training,Other Fringe Benefit
8/15/2018,Bond,OPERATING ENGINEER,All,HWY,9,37.20,39.20,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
8/15/2018,Bond,PAINTER,All,BLD,,31.25,32.75,1.5,1.5,2,2,5.90,10.52,0.00,0.70,0.00
8/15/2018,Bond,PAINTER,All,HWY,,32.45,33.95,1.5,1.5,2,2,5.90,10.52,0.00,0.70,0.00
8/15/2018,Bond,PAINTER OVER 30FT,All,BLD,,32.25,33.75,1.5,1.5,2,2,5.90,10.52,0.00,0.70,0.00
8/15/2018,Bond,PAINTER PWR EQMT,All,BLD,,32.25,33.75,1.5,1.5,2,2,5.90,10.52,0.00,0.70,0.00
8/15/2018,Bond,PAINTER PWR EQMT,All,HWY,,33.45,34.95,1.5,1.5,2,2,5.90,10.52,0.00,0.70,0.00
8/15/2018,Bond,PILEDRIVER,All,ALL,,38.85,40.35,1.5,1.5,2,2,7.25,9.25,0.00,0.50,0.00
8/15/2018,Bond,PIPEFITTER,All,BLD,,42.66,44.79,1.5,1.5,2,2,5.00,8.75,0.00,0.35,0.00
8/15/2018,Bond,PLASTERER,All,BLD,,32.50,34.00,1.5,1.5,2,2,9.95,9.40,0.00,0.40,0.00
4/5/2019,Bond,PLUMBER,All,BLD,,42.66,44.79,1.5,1.5,2,2,5.00,8.75,0.00,0.35,0.00
8/15/2018,Bond,ROOFER,All,BLD,,32.70,34.70,1.5,1.5,1.5,2,9.00,8.55,0.00,0.39,0.00
4/5/2019,Bond,SHEETMETAL WORKER,All,ALL,,34.27,35.77,1.5,1.5,2,2,9.25,8.84,2.06,0.54,0.00
8/15/2018,Bond,SPRINKLER FITTER,ALL,BLD,,37.12,39.87,1.5,1.5,2,2,8.42,8.50,0.00,0.35,
8/15/2018,Bond,TERRAZZO FINISHER,ALL,BLD,,31.24,0.00,1.5,1.5,2,2,6.45,4.37,0.00,0.42,
8/15/2018,Bond,TERRAZZO MASON,ALL,BLD,,32.53,32.83,1.5,1.5,2,2,6.45,5.87,0.00,0.45,
8/15/2018,Bond,TRUCK DRIVER,ALL,ALL,1,36.26,40.15,1.5,1.5,2,2,12.16,6.10,0.00,0.25,
8/15/2018,Bond,TRUCK DRIVER,All,ALL,2,36.77,,1.5,1.5,2,2,11.16,7.10,0.00,0.25,0.00
8/15/2018,Bond,TRUCK DRIVER,All,ALL,3,37.98,,1.5,1.5,2,2,11.65,6.35,0.00,0.25,0.00
8/15/2018,Bond,TRUCK DRIVER,ALL,ALL,4,37.36,40.15,1.5,1.5,2,2,12.16,6.10,0.00,0.25,
8/15/2018,Bond,TRUCK DRIVER,ALL,ALL,5,38.35,40.15,1.5,1.5,2,2,12.16,6.10,0.00,0.25,
8/15/2018,Bond,TRUCK DRIVER,ALL,O&C,1,29.01,32.12,1.5,1.5,2,2,12.16,6.10,0.00,0.25,
8/15/2018,Bond,TRUCK DRIVER,ALL,O&C,2,29.42,32.12,1.5,1.5,2,2,12.16,6.10,0.00,0.25,
8/15/2018,Bond,TRUCK DRIVER,ALL,O&C,3,29.64,32.12,1.5,1.5,2,2,12.16,6.10,0.00,0.25,
